source_code,total_lines,nonempty_lines,cjk_line_count,suspicious_line_count,ocr_quality_percent,qc_status,modernized_use
classic-pungsu-yeokgyeong,9740,9083,8307,0,91.5,usable_with_review,원문 라인 근거와 예문 후보는 사용하되 OCR 의심 라인은 후속 교정 대상으로 분리
classic-gungtongbogam,14420,13961,13679,17,97.9,usable_with_review,원문 라인 근거와 예문 후보는 사용하되 OCR 의심 라인은 후속 교정 대상으로 분리
classic-japyeongjinjeon,15011,14674,14181,0,96.6,usable_with_review,원문 라인 근거와 예문 후보는 사용하되 OCR 의심 라인은 후속 교정 대상으로 분리
classic-japyeongjeongsu,10936,10088,9490,0,94.1,usable_with_review,원문 라인 근거와 예문 후보는 사용하되 OCR 의심 라인은 후속 교정 대상으로 분리
classic-japyeong-ohhaeng-yeonhae,10470,9608,8972,0,93.4,usable_with_review,원문 라인 근거와 예문 후보는 사용하되 OCR 의심 라인은 후속 교정 대상으로 분리
classic-gilhyung,11684,10965,10076,59,91.7,usable_with_review,원문 라인 근거와 예문 후보는 사용하되 OCR 의심 라인은 후속 교정 대상으로 분리
classic-jeokcheonsu-yugi,1646,945,889,0,94.1,usable_with_review,원문 라인 근거와 예문 후보는 사용하되 OCR 의심 라인은 후속 교정 대상으로 분리
classic-sammyeongtonghoe,27724,23604,22250,2,94.3,usable_with_review,원문 라인 근거와 예문 후보는 사용하되 OCR 의심 라인은 후속 교정 대상으로 분리
classic-japyeongjinjeon-jeongpan,1908,1181,1122,0,95.0,usable_with_review,원문 라인 근거와 예문 후보는 사용하되 OCR 의심 라인은 후속 교정 대상으로 분리
classic-ohhaengdaeui,4887,4241,3870,3,91.2,usable_with_review,원문 라인 근거와 예문 후보는 사용하되 OCR 의심 라인은 후속 교정 대상으로 분리
classic-jeokcheonsu-baekhwa,14361,13471,12608,1,93.6,usable_with_review,원문 라인 근거와 예문 후보는 사용하되 OCR 의심 라인은 후속 교정 대상으로 분리
classic-japyeongjinjeon-pyeongju,9203,4987,4767,0,95.6,usable_with_review,원문 라인 근거와 예문 후보는 사용하되 OCR 의심 라인은 후속 교정 대상으로 분리
classic-jeokcheonsu-cheonmi,9379,8426,7515,1,89.2,usable_with_review,원문 라인 근거와 예문 후보는 사용하되 OCR 의심 라인은 후속 교정 대상으로 분리
classic-yeonhaejapyeong,6118,6005,5937,0,98.9,usable_with_review,원문 라인 근거와 예문 후보는 사용하되 OCR 의심 라인은 후속 교정 대상으로 분리
