principle_code,source_codes,focus_ko,modern_translation,program_rule,affected_tables,output_fields
modern_ganji_alphabet,modern-nae-saju,간지 알파벳,간지는 사주 분석의 글자 체계이며 천간과 지지를 조합해 사건과 성향을 읽는 기본 단위다,사용자에게 먼저 네 기둥과 여덟 글자의 이름을 현대어로 보여준다,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv,modern_ganji_profile
modern_stem_branch_traits,modern-nae-saju,천간지지 성향,천간은 드러난 기운 지지는 환경과 바탕으로 설명한다,천간 성향과 지지 환경을 분리해 요약 카드로 구성한다,heavenly-stems.csv;earthly-branches.csv;hidden-stems.csv,modern_ganji_profile
modern_ten_god_social_relations,modern-nae-saju;modern-honja,십신 사회관계,십신은 재물 명예 가족 직업 관계 욕구를 설명하는 현대적 관계 언어다,십신 결과는 성격 단정이 아니라 관계 역할과 행동 경향으로 출력한다,ten-god-rules.csv;ten-god-traits.csv;ten-god-overlays.csv,modern_ten_god_social_profile
modern_beginner_learning_order,modern-sulsul,입문 학습 순서,오행 천간지지 합충형파해 신강신약 용신 격국 순서로 이해 부담을 낮춘다,분석 화면은 기초 요약에서 고급 판단으로 단계적으로 펼친다,saju-foundations.csv;analysis-output-fields.csv,modern_learning_explainer
modern_strength_weakness,modern-sulsul,신강신약,득령 득지 득세 여부로 일간의 강약을 설명하되 균형 관점으로 다룬다,강약 판단은 용신 후보와 보완 방향을 위한 중간 근거로만 사용한다,classical-seasonal-use-god-rules.csv;classical-analysis-modules.csv,modern_learning_explainer
modern_combination_conflict_events,modern-sulsul;modern-honja,합충형파해 사건성,합과 충 형 파 해는 변화와 긴장이 생기는 지점으로 읽는다,관계 충돌은 긍정 부정 단정 대신 활성 조건 대응 선택지로 출력한다,earthly-branch-relationships.csv;heavenly-stem-relationships.csv,modern_event_trigger_profile
modern_hidden_stem_activation,modern-honja,지장간 충출,충은 숨어 있던 지장간의 의미가 드러나는 계기가 될 수 있다,충출 가능성을 지장간 활성화 후보로 표시하고 검증 필요 상태를 남긴다,hidden-stems.csv;earthly-branch-relationships.csv,modern_event_trigger_profile
modern_samhyeong_context,modern-honja,삼형 맥락,삼형은 사고나 손실만이 아니라 강한 변화 압력과 선택의 갈림길로 설명한다,삼형은 위험 알림과 기회 조건을 함께 출력한다,earthly-branch-relationships.csv;twelve-shinsal-rules.csv,modern_event_trigger_profile
modern_consultation_domains,modern-honja;modern-puli,상담 질문 영역,취업 이직 재테크 창업 직장 갈등 사고 소송 애정 결혼 이혼은 실제 상담의 주요 질문이다,분석 결과를 직업 재물 관계 건강 법적 이슈 같은 질문 영역으로 매핑한다,analysis-output-fields.csv;special-star-rules.csv,modern_consultation_guidance
modern_color_symbolism,modern-puli,색채와 오행,색채는 오행의 보완과 생활 조언을 전달하는 현대적 표현 도구다,이미지 프롬프트와 생활 조언에서 오행 색상을 보조 신호로 사용한다,elements.csv;gapja-assets.csv,modern_consultation_guidance
modern_humanistic_framing,modern-puli,인문학적 풀이,사주는 숙명 단정이 아니라 자신을 이해하고 선택을 조정하는 언어로 설명한다,사용자 출력은 확정적 예언보다 조건 추세 선택지 조언으로 구성한다,analysis-output-fields.csv;classical-analysis-modules.csv,modern_consultation_guidance
modern_terminology_unification,modern-sulsul;modern-nae-saju,용어 통일,한자식 용어는 한글 현대어 풀이와 함께 제공해야 이해 부담이 줄어든다,전문 용어는 원어 현대어 한 줄 설명을 함께 저장한다,saju-foundations.csv;analysis-output-fields.csv,modern_learning_explainer
