case_id,source_code,line_no,case_keyword,case_type,modernized_use,parse_status,target_tables
classic-pungsu-yeokgyeong|case-01,classic-pungsu-yeokgyeong,4537,干支,rule_context_candidate,고전 예문 명조 후보로 색인하고 추후 네 기둥 원문 파싱과 해석 결과 비교에 사용,indexed_not_parsed,classical-pattern-rules.csv;analysis-output-fields.csv
classic-pungsu-yeokgyeong|case-02,classic-pungsu-yeokgyeong,2466,格局,rule_context_candidate,고전 예문 명조 후보로 색인하고 추후 네 기둥 원문 파싱과 해석 결과 비교에 사용,indexed_not_parsed,classical-pattern-rules.csv;analysis-output-fields.csv
classic-pungsu-yeokgyeong|case-03,classic-pungsu-yeokgyeong,401,五行,rule_context_candidate,고전 예문 명조 후보로 색인하고 추후 네 기둥 원문 파싱과 해석 결과 비교에 사용,indexed_not_parsed,classical-pattern-rules.csv;analysis-output-fields.csv
classic-pungsu-yeokgyeong|case-04,classic-pungsu-yeokgyeong,212,命,rule_context_candidate,고전 예문 명조 후보로 색인하고 추후 네 기둥 원문 파싱과 해석 결과 비교에 사용,indexed_not_parsed,classical-pattern-rules.csv;analysis-output-fields.csv
classic-pungsu-yeokgyeong|case-05,classic-pungsu-yeokgyeong,415,五行,rule_context_candidate,고전 예문 또는 규칙 맥락 후보로 색인하고 추후 네 기둥 원문 파싱과 해석 결과 비교에 사용,indexed_not_parsed,classical-pattern-rules.csv;analysis-output-fields.csv
classic-gungtongbogam|case-01,classic-gungtongbogam,542,此造,chart_case,고전 예문 명조 후보로 색인하고 추후 네 기둥 원문 파싱과 해석 결과 비교에 사용,indexed_not_parsed,classical-pattern-rules.csv;analysis-output-fields.csv
classic-gungtongbogam|case-02,classic-gungtongbogam,150,一造,chart_case,고전 예문 명조 후보로 색인하고 추후 네 기둥 원문 파싱과 해석 결과 비교에 사용,indexed_not_parsed,classical-pattern-rules.csv;analysis-output-fields.csv
classic-gungtongbogam|case-03,classic-gungtongbogam,505,命造,chart_case,고전 예문 명조 후보로 색인하고 추후 네 기둥 원문 파싱과 해석 결과 비교에 사용,indexed_not_parsed,classical-pattern-rules.csv;analysis-output-fields.csv
classic-gungtongbogam|case-04,classic-gungtongbogam,4040,贵命,outcome_case,고전 예문 명조 후보로 색인하고 추후 네 기둥 원문 파싱과 해석 결과 비교에 사용,indexed_not_parsed,classical-pattern-rules.csv;analysis-output-fields.csv
classic-gungtongbogam|case-05,classic-gungtongbogam,4859,富命,outcome_case,고전 예문 명조 후보로 색인하고 추후 네 기둥 원문 파싱과 해석 결과 비교에 사용,indexed_not_parsed,classical-pattern-rules.csv;analysis-output-fields.csv
classic-japyeongjinjeon|case-01,classic-japyeongjinjeon,6647,此造,chart_case,고전 예문 명조 후보로 색인하고 추후 네 기둥 원문 파싱과 해석 결과 비교에 사용,indexed_not_parsed,classical-pattern-rules.csv;analysis-output-fields.csv
classic-japyeongjinjeon|case-02,classic-japyeongjinjeon,12707,一造,chart_case,고전 예문 명조 후보로 색인하고 추후 네 기둥 원문 파싱과 해석 결과 비교에 사용,indexed_not_parsed,classical-pattern-rules.csv;analysis-output-fields.csv
classic-japyeongjinjeon|case-03,classic-japyeongjinjeon,627,命造,chart_case,고전 예문 명조 후보로 색인하고 추후 네 기둥 원문 파싱과 해석 결과 비교에 사용,indexed_not_parsed,classical-pattern-rules.csv;analysis-output-fields.csv
classic-japyeongjinjeon|case-04,classic-japyeongjinjeon,12742,贵命,outcome_case,고전 예문 명조 후보로 색인하고 추후 네 기둥 원문 파싱과 해석 결과 비교에 사용,indexed_not_parsed,classical-pattern-rules.csv;analysis-output-fields.csv
classic-japyeongjinjeon|case-05,classic-japyeongjinjeon,4499,男命,gender_case,고전 예문 명조 후보로 색인하고 추후 네 기둥 원문 파싱과 해석 결과 비교에 사용,indexed_not_parsed,classical-pattern-rules.csv;analysis-output-fields.csv
classic-japyeongjeongsu|case-01,classic-japyeongjeongsu,861,此造,chart_case,고전 예문 명조 후보로 색인하고 추후 네 기둥 원문 파싱과 해석 결과 비교에 사용,indexed_not_parsed,classical-pattern-rules.csv;analysis-output-fields.csv
classic-japyeongjeongsu|case-02,classic-japyeongjeongsu,3650,一造,chart_case,고전 예문 명조 후보로 색인하고 추후 네 기둥 원문 파싱과 해석 결과 비교에 사용,indexed_not_parsed,classical-pattern-rules.csv;analysis-output-fields.csv
classic-japyeongjeongsu|case-03,classic-japyeongjeongsu,969,贵命,outcome_case,고전 예문 명조 후보로 색인하고 추후 네 기둥 원문 파싱과 해석 결과 비교에 사용,indexed_not_parsed,classical-pattern-rules.csv;analysis-output-fields.csv
classic-japyeongjeongsu|case-04,classic-japyeongjeongsu,864,富命,outcome_case,고전 예문 명조 후보로 색인하고 추후 네 기둥 원문 파싱과 해석 결과 비교에 사용,indexed_not_parsed,classical-pattern-rules.csv;analysis-output-fields.csv
classic-japyeongjeongsu|case-05,classic-japyeongjeongsu,521,贫命,outcome_case,고전 예문 명조 후보로 색인하고 추후 네 기둥 원문 파싱과 해석 결과 비교에 사용,indexed_not_parsed,classical-pattern-rules.csv;analysis-output-fields.csv
classic-japyeong-ohhaeng-yeonhae|case-01,classic-japyeong-ohhaeng-yeonhae,4703,贵命,outcome_case,고전 예문 명조 후보로 색인하고 추후 네 기둥 원문 파싱과 해석 결과 비교에 사용,indexed_not_parsed,classical-pattern-rules.csv;analysis-output-fields.csv
