day_stem_code,day_stem_ko,month_branch_code,month_branch_ko,season_phase,climate_condition,primary_use_element,secondary_use_element,avoid_element,modern_rule,source_codes,confidence
gap,갑,in,인,early_spring,생장 기운은 강하지만 초봄은 한기가 남고 늦봄은 목기가 과해질 수 있음,metal,fire,water,갑 일간이 인월에 나면 금을 먼저 살피고 화로 보조하며 수의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
gap,갑,myo,묘,mid_spring,생장 기운은 강하지만 초봄은 한기가 남고 늦봄은 목기가 과해질 수 있음,metal,fire,water,갑 일간이 묘월에 나면 금을 먼저 살피고 화로 보조하며 수의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
gap,갑,jin,진,late_spring,토기가 계절을 전환하므로 막힘과 습도를 함께 조절해야 함,metal,water,earth,갑 일간이 진월에 나면 금을 먼저 살피고 수로 보조하며 토의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
gap,갑,sa,사,early_summer,화기가 강하고 건조해지기 쉬워 수기로 열을 조절해야 함,water,metal,fire,갑 일간이 사월에 나면 수를 먼저 살피고 금으로 보조하며 화의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
gap,갑,o,오,mid_summer,화기가 강하고 건조해지기 쉬워 수기로 열을 조절해야 함,water,metal,fire,갑 일간이 오월에 나면 수를 먼저 살피고 금으로 보조하며 화의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
gap,갑,mi,미,late_summer,토기가 계절을 전환하므로 막힘과 습도를 함께 조절해야 함,metal,water,earth,갑 일간이 미월에 나면 금을 먼저 살피고 수로 보조하며 토의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
gap,갑,sin,신,early_autumn,금기가 강하고 건조해지기 쉬워 온기와 윤택함을 함께 살펴야 함,water,fire,metal,갑 일간이 신월에 나면 수를 먼저 살피고 화로 보조하며 금의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
gap,갑,yu,유,mid_autumn,금기가 강하고 건조해지기 쉬워 온기와 윤택함을 함께 살펴야 함,water,fire,metal,갑 일간이 유월에 나면 수를 먼저 살피고 화로 보조하며 금의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
gap,갑,sul,술,late_autumn,토기가 계절을 전환하므로 막힘과 습도를 함께 조절해야 함,metal,water,earth,갑 일간이 술월에 나면 금을 먼저 살피고 수로 보조하며 토의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
gap,갑,hae,해,early_winter,수기가 강하고 한랭해져 화기로 온도를 회복해야 함,fire,earth,water,갑 일간이 해월에 나면 화를 먼저 살피고 토로 보조하며 수의 과다를 경계한다.,classic-gungtongbogam;classic-japyeongjinjeon;classic-japyeongjeongsu,medium
