cycle_no,gapja_code,ko_name,hanja_name,stem_code,stem_ko,stem_hanja,stem_element,stem_yinyang,branch_code,branch_ko,branch_hanja,branch_animal,branch_element,branch_yinyang,male_output,female_output,status
1,gap-ja,갑자,甲子,gap,갑,甲,목(木),양,ja,자,子,쥐,수(水),양,combinations/mix_character/001_gap-ja_male.png,combinations/mix_character/001_gap-ja_female.png,generated
2,eul-chuk,을축,乙丑,eul,을,乙,목(木),음,chuk,축,丑,소,토(土),음,combinations/mix_character/002_eul-chuk_male.png,combinations/mix_character/002_eul-chuk_female.png,generated
3,byeong-in,병인,丙寅,byeong,병,丙,화(火),양,in,인,寅,호랑이,목(木),양,combinations/mix_character/003_byeong-in_male.png,combinations/mix_character/003_byeong-in_female.png,generated
4,jeong-myo,정묘,丁卯,jeong,정,丁,화(火),음,myo,묘,卯,토끼,목(木),음,combinations/mix_character/004_jeong-myo_male.png,combinations/mix_character/004_jeong-myo_female.png,generated
5,mu-jin,무진,戊辰,mu,무,戊,토(土),양,jin,진,辰,용,토(土),양,combinations/mix_character/005_mu-jin_male.png,combinations/mix_character/005_mu-jin_female.png,generated
6,gi-sa,기사,己巳,gi,기,己,토(土),음,sa,사,巳,뱀,화(火),음,combinations/mix_character/006_gi-sa_male.png,combinations/mix_character/006_gi-sa_female.png,generated
7,gyeong-o,경오,庚午,gyeong,경,庚,금(金),양,o,오,午,말,화(火),양,combinations/mix_character/007_gyeong-o_male.png,combinations/mix_character/007_gyeong-o_female.png,generated
8,sin-mi,신미,辛未,sin,신,辛,금(金),음,mi,미,未,양,토(土),음,combinations/mix_character/008_sin-mi_male.png,combinations/mix_character/008_sin-mi_female.png,generated
9,im-sin,임신,壬申,im,임,壬,수(水),양,sin,신,申,원숭이,금(金),양,combinations/mix_character/009_im-sin_male.png,combinations/mix_character/009_im-sin_female.png,generated
10,gye-yu,계유,癸酉,gye,계,癸,수(水),음,yu,유,酉,닭,금(金),음,combinations/mix_character/010_gye-yu_male.png,combinations/mix_character/010_gye-yu_female.png,generated
11,gap-sul,갑술,甲戌,gap,갑,甲,목(木),양,sul,술,戌,개,토(土),양,combinations/mix_character/011_gap-sul_male.png,combinations/mix_character/011_gap-sul_female.png,generated
12,eul-hae,을해,乙亥,eul,을,乙,목(木),음,hae,해,亥,돼지,수(水),음,combinations/mix_character/012_eul-hae_male.png,combinations/mix_character/012_eul-hae_female.png,generated
13,byeong-ja,병자,丙子,byeong,병,丙,화(火),양,ja,자,子,쥐,수(水),양,combinations/mix_character/013_byeong-ja_male.png,combinations/mix_character/013_byeong-ja_female.png,generated
14,jeong-chuk,정축,丁丑,jeong,정,丁,화(火),음,chuk,축,丑,소,토(土),음,combinations/mix_character/014_jeong-chuk_male.png,combinations/mix_character/014_jeong-chuk_female.png,generated
15,mu-in,무인,戊寅,mu,무,戊,토(土),양,in,인,寅,호랑이,목(木),양,combinations/mix_character/015_mu-in_male.png,combinations/mix_character/015_mu-in_female.png,generated
16,gi-myo,기묘,己卯,gi,기,己,토(土),음,myo,묘,卯,토끼,목(木),음,combinations/mix_character/016_gi-myo_male.png,combinations/mix_character/016_gi-myo_female.png,generated
17,gyeong-jin,경진,庚辰,gyeong,경,庚,금(金),양,jin,진,辰,용,토(土),양,combinations/mix_character/017_gyeong-jin_male.png,combinations/mix_character/017_gyeong-jin_female.png,generated
18,sin-sa,신사,辛巳,sin,신,辛,금(金),음,sa,사,巳,뱀,화(火),음,combinations/mix_character/018_sin-sa_male.png,combinations/mix_character/018_sin-sa_female.png,generated
19,im-o,임오,壬午,im,임,壬,수(水),양,o,오,午,말,화(火),양,combinations/mix_character/019_im-o_male.png,combinations/mix_character/019_im-o_female.png,generated
20,gye-mi,계미,癸未,gye,계,癸,수(水),음,mi,미,未,양,토(土),음,combinations/mix_character/020_gye-mi_male.png,combinations/mix_character/020_gye-mi_female.png,generated
21,gap-sin,갑신,甲申,gap,갑,甲,목(木),양,sin,신,申,원숭이,금(金),양,combinations/mix_character/021_gap-sin_male.png,combinations/mix_character/021_gap-sin_female.png,generated
22,eul-yu,을유,乙酉,eul,을,乙,목(木),음,yu,유,酉,닭,금(金),음,combinations/mix_character/022_eul-yu_male.png,combinations/mix_character/022_eul-yu_female.png,generated
23,byeong-sul,병술,丙戌,byeong,병,丙,화(火),양,sul,술,戌,개,토(土),양,combinations/mix_character/023_byeong-sul_male.png,combinations/mix_character/023_byeong-sul_female.png,generated
24,jeong-hae,정해,丁亥,jeong,정,丁,화(火),음,hae,해,亥,돼지,수(水),음,combinations/mix_character/024_jeong-hae_male.png,combinations/mix_character/024_jeong-hae_female.png,generated
25,mu-ja,무자,戊子,mu,무,戊,토(土),양,ja,자,子,쥐,수(水),양,combinations/mix_character/025_mu-ja_male.png,combinations/mix_character/025_mu-ja_female.png,generated
26,gi-chuk,기축,己丑,gi,기,己,토(土),음,chuk,축,丑,소,토(土),음,combinations/mix_character/026_gi-chuk_male.png,combinations/mix_character/026_gi-chuk_female.png,generated
