source_id,source_category,path,covered_csv,notes
intro,common,/home/declan/Downloads/명리학-20260812T044908Z-1-001/명리학/00_사주팔자란,saju-foundations.csv;pillar-positions.csv;analysis-output-fields.csv;source-index.csv,사주팔자 기본 개념과 프로그램 출력 스키마 참고
elements,common,/home/declan/Downloads/명리학-20260812T044908Z-1-001/명리학/01_오행,elements.csv,오행 색상 계절 방향 성향 보완
stems,common,/home/declan/Downloads/명리학-20260812T044908Z-1-001/명리학/02_천간,heavenly-stems.csv;heavenly-stem-relationships.csv,천간 음양오행 합충 성향 보완
branches,common,/home/declan/Downloads/명리학-20260812T044908Z-1-001/명리학/03_지지,earthly-branches.csv;hidden-stems.csv;earthly-branch-relationships.csv,지지 동물 시간 월 계절 지장간 합충형 보완
ten_gods,common,/home/declan/Downloads/명리학-20260812T044908Z-1-001/명리학/04_십성,ten-god-rules.csv;ten-god-stem-map.csv;ten-god-traits.csv;ten-god-overlays.csv,십성 판별 규칙 성향 시각 오버레이 보완
life_stages,common,/home/declan/Downloads/명리학-20260812T044908Z-1-001/명리학/05_12운성,twelve-life-stages.csv;twelve-life-stage-rules.csv;twelve-life-stage-map.csv,12운성 순서 양간순행 음간역행 규칙 보완
twelve_shinsal,common,/home/declan/Downloads/명리학-20260812T044908Z-1-001/명리학/06_12신살,twelve-shinsal.csv;twelve-shinsal-rules.csv,12신살 목록 해석 삼합군별 판별표 보완
special_stars,common,/home/declan/Downloads/명리학-20260812T044908Z-1-001/명리학/07_신살,special-stars.csv;special-star-rules.csv,귀인 신살 특수 판별축과 시각화 보완
classics,classical,/home/declan/Downloads/명리학-20260812T044908Z-1-001/명리학/고전,literature-sources.csv;classical-principles.csv;classical-analysis-modules.csv;classical-seasonal-use-god-rules.csv;classical-pattern-rules.csv;classical-evidence-index.csv;classical-example-cases.csv;classical-example-case-parse.csv;classical-ocr-quality.csv;classical-source-coverage.csv;classical-version-notes.csv;classical-coverage-metrics.csv;analysis-output-fields.csv;source-index.csv,고전 원전 계열은 현대어 분석 원칙 세부 규칙 원문근거 예문후보 파싱품질 OCR품질 커버리지 지표로 보존
modern,modern,/home/declan/Downloads/명리학-20260812T044908Z-1-001/명리학/현대,literature-sources.csv;modern-principles.csv;modern-analysis-modules.csv;modern-evidence-index.csv;modern-design-coverage.csv;modern-coverage-metrics.csv;analysis-output-fields.csv;source-index.csv,현대 입문 해석 계열은 현대어 원칙 프로그램 모듈 라인근거 상담형 출력 설계로 보존
public-figures,public_figure,/home/declan/Pictures/saju-gapja-v3/public-figure-saju-seeds.csv,public-figure-saju-seeds.csv;public-figure-occupation-enrichment.csv;public-figure-saju-source-metrics.csv;analysis-output-fields.csv,공개 유명인 1000명 출생 시드 데이터 직업군 보강과 20대 궁합 매칭 후보 설계
character-types,derived,/home/declan/Pictures/saju-gapja-v3/character-type-templates.csv,character-archetypes.csv;character-type-templates.csv;character-type-modifiers.csv;character-growth-quests.csv;analysis-output-fields.csv,일간 기반 사주 캐릭터 타입 공유 카드 성장 퀘스트 설계
manse,derived,/home/declan/Pictures/saju-gapja-v3/manse-calculation-rules.csv,manse-calculation-rules.csv;solar-term-month-boundaries.csv;month-stem-start-rules.csv;hour-stem-start-rules.csv;luck-cycle-rules.csv;analysis-output-fields.csv,입춘 절기 월주 시주 대운 세운 계산 계약
compatibility,derived,/home/declan/Pictures/saju-gapja-v3/compatibility-scoring-rules.csv,compatibility-feature-weights.csv;compatibility-scoring-rules.csv;compatibility-output-templates.csv;analysis-output-fields.csv,궁합 점수와 설명 카드 룰
