source_attachment_id,year,term_order,solar_term_ko,solar_term_hanja,hko_english_name,ecliptic_longitude_deg,hko_date,hko_time_hkt,utc_datetime,kst_datetime,source_url,source_timezone,source_retrieved_date,source_status,naoj_crosscheck_status,korean_date_sanity_status,fixture_refs,review_note
HKO2026-01,2026,1,소한,小寒,Moderate cold,285,2026-01-05,16:23,2026-01-05T08:23:00Z,2026-01-05T17:23:00+09:00,https://www.weather.gov.hk/en/gts/astronomy/data/files/24SolarTerms_2026.xml,HKT UTC+8,2026-05-08,hko_exact_attached,matched_0m,matched_kma_date_name,MST-023;MST-024,Month-start term for 축월 boundary
HKO2026-02,2026,2,대한,大寒,Severe cold,300,2026-01-20,09:45,2026-01-20T01:45:00Z,2026-01-20T10:45:00+09:00,https://www.weather.gov.hk/en/gts/astronomy/data/files/24SolarTerms_2026.xml,HKT UTC+8,2026-05-08,hko_exact_attached,matched_0m,matched_kma_date_name,,Non month-start term retained for 24-term completeness
HKO2026-03,2026,3,입춘,立春,Spring commences,315,2026-02-04,04:02,2026-02-03T20:02:00Z,2026-02-04T05:02:00+09:00,https://www.weather.gov.hk/en/gts/astronomy/data/files/24SolarTerms_2026.xml,HKT UTC+8,2026-05-08,hko_exact_attached,matched_0m,matched_kma_date_name,MST-001;MST-002;IPCHUN-001;IPCHUN-002;IPCHUN-003;IPCHUN-004;IPCHUN-005;IPCHUN-006;IPCHUN-008,Month-start and year-pillar boundary
HKO2026-04,2026,4,우수,雨水,Spring showers,330,2026-02-18,23:52,2026-02-18T15:52:00Z,2026-02-19T00:52:00+09:00,https://www.weather.gov.hk/en/gts/astronomy/data/files/24SolarTerms_2026.xml,HKT UTC+8,2026-05-08,hko_exact_attached,matched_0m,matched_kma_date_name,,Non month-start term retained for 24-term completeness
HKO2026-05,2026,5,경칩,驚蟄,Insects waken,345,2026-03-05,21:59,2026-03-05T13:59:00Z,2026-03-05T22:59:00+09:00,https://www.weather.gov.hk/en/gts/astronomy/data/files/24SolarTerms_2026.xml,HKT UTC+8,2026-05-08,hko_exact_attached,matched_0m,matched_kma_date_name,MST-003;MST-004,Month-start term for 묘월 boundary
HKO2026-06,2026,6,춘분,春分,Vernal equinox,0,2026-03-20,22:46,2026-03-20T14:46:00Z,2026-03-20T23:46:00+09:00,https://www.weather.gov.hk/en/gts/astronomy/data/files/24SolarTerms_2026.xml,HKT UTC+8,2026-05-08,hko_exact_attached,matched_0m,matched_kma_date_name,,Non month-start term retained for 24-term completeness
HKO2026-07,2026,7,청명,淸明,Bright and clear,15,2026-04-05,02:40,2026-04-04T18:40:00Z,2026-04-05T03:40:00+09:00,https://www.weather.gov.hk/en/gts/astronomy/data/files/24SolarTerms_2026.xml,HKT UTC+8,2026-05-08,hko_exact_attached,matched_0m,matched_kma_date_name,MST-005;MST-006,Month-start term for 진월 boundary
HKO2026-08,2026,8,곡우,穀雨,Corn rain,30,2026-04-20,09:39,2026-04-20T01:39:00Z,2026-04-20T10:39:00+09:00,https://www.weather.gov.hk/en/gts/astronomy/data/files/24SolarTerms_2026.xml,HKT UTC+8,2026-05-08,hko_exact_attached,matched_0m,matched_kma_date_name,,Non month-start term retained for 24-term completeness
HKO2026-09,2026,9,입하,立夏,Summer commences,45,2026-05-05,19:49,2026-05-05T11:49:00Z,2026-05-05T20:49:00+09:00,https://www.weather.gov.hk/en/gts/astronomy/data/files/24SolarTerms_2026.xml,HKT UTC+8,2026-05-08,hko_exact_attached,matched_0m,matched_kma_date_name,MST-007;MST-008,Month-start term for 사월 boundary
HKO2026-10,2026,10,소만,小滿,Corn forms,60,2026-05-21,08:37,2026-05-21T00:37:00Z,2026-05-21T09:37:00+09:00,https://www.weather.gov.hk/en/gts/astronomy/data/files/24SolarTerms_2026.xml,HKT UTC+8,2026-05-08,hko_exact_attached,matched_0m,matched_kma_date_name,,Non month-start term retained for 24-term completeness
HKO2026-11,2026,11,망종,芒種,Corn on ear,75,2026-06-05,23:48,2026-06-05T15:48:00Z,2026-06-06T00:48:00+09:00,https://www.weather.gov.hk/en/gts/astronomy/data/files/24SolarTerms_2026.xml,HKT UTC+8,2026-05-08,hko_exact_attached,matched_0m,matched_kma_date_name,MST-009;MST-010,Month-start term for 오월 boundary; KST date moves to 2026-06-06
HKO2026-12,2026,12,하지,夏至,Summer solstice,90,2026-06-21,16:25,2026-06-21T08:25:00Z,2026-06-21T17:25:00+09:00,https://www.weather.gov.hk/en/gts/astronomy/data/files/24SolarTerms_2026.xml,HKT UTC+8,2026-05-08,hko_exact_attached,matched_0m,matched_kma_date_name,,Non month-start term retained for 24-term completeness
HKO2026-13,2026,13,소서,小暑,Moderate heat,105,2026-07-07,09:57,2026-07-07T01:57:00Z,2026-07-07T10:57:00+09:00,https://www.weather.gov.hk/en/gts/astronomy/data/files/24SolarTerms_2026.xml,HKT UTC+8,2026-05-08,hko_exact_attached,matched_0m,matched_kma_date_name,MST-011;MST-012,Month-start term for 미월 boundary
HKO2026-14,2026,14,대서,大暑,Great heat,120,2026-07-23,03:13,2026-07-22T19:13:00Z,2026-07-23T04:13:00+09:00,https://www.weather.gov.hk/en/gts/astronomy/data/files/24SolarTerms_2026.xml,HKT UTC+8,2026-05-08,hko_exact_attached,matched_0m,matched_kma_date_name,,Non month-start term retained for 24-term completeness
HKO2026-15,2026,15,입추,立秋,Autumn commences,135,2026-08-07,19:43,2026-08-07T11:43:00Z,2026-08-07T20:43:00+09:00,https://www.weather.gov.hk/en/gts/astronomy/data/files/24SolarTerms_2026.xml,HKT UTC+8,2026-05-08,hko_exact_attached,matched_0m,matched_kma_date_name,MST-013;MST-014,Month-start term for 신월 boundary
HKO2026-16,2026,16,처서,處暑,End of heat,150,2026-08-23,10:19,2026-08-23T02:19:00Z,2026-08-23T11:19:00+09:00,https://www.weather.gov.hk/en/gts/astronomy/data/files/24SolarTerms_2026.xml,HKT UTC+8,2026-05-08,hko_exact_attached,matched_0m,matched_kma_date_name,,Non month-start term retained for 24-term completeness
HKO2026-17,2026,17,백로,白露,White dew,165,2026-09-07,22:41,2026-09-07T14:41:00Z,2026-09-07T23:41:00+09:00,https://www.weather.gov.hk/en/gts/astronomy/data/files/24SolarTerms_2026.xml,HKT UTC+8,2026-05-08,hko_exact_attached,matched_0m,matched_kma_date_name,MST-015;MST-016,Month-start term for 유월 boundary
HKO2026-18,2026,18,추분,秋分,Autumnal equinox,180,2026-09-23,08:05,2026-09-23T00:05:00Z,2026-09-23T09:05:00+09:00,https://www.weather.gov.hk/en/gts/astronomy/data/files/24SolarTerms_2026.xml,HKT UTC+8,2026-05-08,hko_exact_attached,matched_0m,matched_kma_date_name,,Non month-start term retained for 24-term completeness
HKO2026-19,2026,19,한로,寒露,Cold dew,195,2026-10-08,14:29,2026-10-08T06:29:00Z,2026-10-08T15:29:00+09:00,https://www.weather.gov.hk/en/gts/astronomy/data/files/24SolarTerms_2026.xml,HKT UTC+8,2026-05-08,hko_exact_attached,matched_0m,matched_kma_date_name,MST-017;MST-018,Month-start term for 술월 boundary
HKO2026-20,2026,20,상강,霜降,Frost,210,2026-10-23,17:38,2026-10-23T09:38:00Z,2026-10-23T18:38:00+09:00,https://www.weather.gov.hk/en/gts/astronomy/data/files/24SolarTerms_2026.xml,HKT UTC+8,2026-05-08,hko_exact_attached,matched_0m,matched_kma_date_name,,Non month-start term retained for 24-term completeness
