template_code,gapja_code,day_pillar_hanja,day_pillar_ko,day_stem_code,day_branch_code,type_label_ko,one_line_summary,guardian_beast,zodiac_companion,male_asset_path,female_asset_path,profile_prompt_seed,source_tables
gap-ja_character_type,gap-ja,甲子,갑자,gap,ja,갑자 개척자,곧게 시작하고 길을 여는 타입. 쥐의 지혜 모티프가 보조된다,청룡,쥐,combinations/mix_character/001_gap-ja_male.png,combinations/mix_character/001_gap-ja_female.png,큰나무;개척자 straight_tree;leader;green_robes with small_rat;night_water;bright_eyes,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
eul-chuk_character_type,eul-chuk,乙丑,을축,eul,chuk,을축 조율가,부드럽게 연결하고 적응하는 타입. 소의 인내 모티프가 보조된다,청룡,소,combinations/mix_character/002_eul-chuk_male.png,combinations/mix_character/002_eul-chuk_female.png,풀꽃;덩굴 flower_vine;soft_green;elegant with sturdy_ox;frozen_soil;gentle_horns,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
byeong-in_character_type,byeong-in,丙寅,병인,byeong,in,병인 스포트라이터,밝게 드러내고 분위기를 여는 타입. 호랑이의 추진 모티프가 보조된다,주작,호랑이,combinations/mix_character/003_byeong-in_male.png,combinations/mix_character/003_byeong-in_female.png,태양;광명 sun;gold_red;wide_smile with tiger;spring_forest;dynamic_stripes,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
jeong-myo_character_type,jeong-myo,丁卯,정묘,jeong,myo,정묘 집중가,작은 불씨를 오래 지키는 타입. 토끼의 감성 모티프가 보조된다,주작,토끼,combinations/mix_character/004_jeong-myo_male.png,combinations/mix_character/004_jeong-myo_female.png,촛불;별빛 candle;small_flame;scholar_lamp with rabbit;flower_field;soft_ears,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
mu-jin_character_type,mu-jin,戊辰,무진,mu,jin,무진 중심축,흔들리지 않고 판을 받치는 타입. 용의 비전 모티프가 보조된다,황룡,용,combinations/mix_character/005_mu-jin_male.png,combinations/mix_character/005_mu-jin_female.png,큰산;대지 mountain;earth_armor;steady_pose with dragon;cloud_soil;pearl,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
gi-sa_character_type,gi-sa,己巳,기사,gi,sa,기사 케어테이커,세밀하게 돌보고 현실을 가꾸는 타입. 뱀의 통찰 모티프가 보조된다,황룡,뱀,combinations/mix_character/006_gi-sa_male.png,combinations/mix_character/006_gi-sa_female.png,논밭;정원흙 garden_soil;warm_brown;caretaker with snake;warm_scale;wisdom_eye,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
gyeong-o_character_type,gyeong-o,庚午,경오,gyeong,o,경오 결단가,기준을 세우고 빠르게 정리하는 타입. 말의 활력 모티프가 보조된다,백호,말,combinations/mix_character/007_gyeong-o_male.png,combinations/mix_character/007_gyeong-o_female.png,강철;큰칼 steel_blade;silver;warrior with horse;midday_sun;flame_mane,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
sin-mi_character_type,sin-mi,辛未,신미,sin,mi,신미 디테일러,정교하게 다듬고 완성도를 높이는 타입. 양의 포근함 모티프가 보조된다,백호,양,combinations/mix_character/008_sin-mi_male.png,combinations/mix_character/008_sin-mi_female.png,보석;바늘 jewel;needle;white_silver with sheep;warm_field;soft_wool,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
im-sin_character_type,im-sin,壬申,임신,im,sin,임신 전략가,큰 흐름을 읽고 판을 넓히는 타입. 원숭이의 학습 모티프가 보조된다,현무,원숭이,combinations/mix_character/009_im-sin_male.png,combinations/mix_character/009_im-sin_female.png,바다;큰강 ocean;wave_cloak;deep_blue with monkey;metal_branch;clever_pose,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
gye-yu_character_type,gye-yu,癸酉,계유,gye,yu,계유 탐구자,조용히 관찰하고 깊게 파고드는 타입. 닭의 정밀 모티프가 보조된다,현무,닭,combinations/mix_character/010_gye-yu_male.png,combinations/mix_character/010_gye-yu_female.png,비;이슬;샘물 raindrop;mist;dark_blue with rooster;silver_feather;clock_sense,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
gap-sul_character_type,gap-sul,甲戌,갑술,gap,sul,갑술 개척자,곧게 시작하고 길을 여는 타입. 개의 충직 모티프가 보조된다,청룡,개,combinations/mix_character/011_gap-sul_male.png,combinations/mix_character/011_gap-sul_female.png,큰나무;개척자 straight_tree;leader;green_robes with dog;loyal_guard;warm_tail,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
eul-hae_character_type,eul-hae,乙亥,을해,eul,hae,을해 조율가,부드럽게 연결하고 적응하는 타입. 돼지의 포용 모티프가 보조된다,청룡,돼지,combinations/mix_character/012_eul-hae_male.png,combinations/mix_character/012_eul-hae_female.png,풀꽃;덩굴 flower_vine;soft_green;elegant with pig;deep_water;rounded_form,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
byeong-ja_character_type,byeong-ja,丙子,병자,byeong,ja,병자 스포트라이터,밝게 드러내고 분위기를 여는 타입. 쥐의 지혜 모티프가 보조된다,주작,쥐,combinations/mix_character/013_byeong-ja_male.png,combinations/mix_character/013_byeong-ja_female.png,태양;광명 sun;gold_red;wide_smile with small_rat;night_water;bright_eyes,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
jeong-chuk_character_type,jeong-chuk,丁丑,정축,jeong,chuk,정축 집중가,작은 불씨를 오래 지키는 타입. 소의 인내 모티프가 보조된다,주작,소,combinations/mix_character/014_jeong-chuk_male.png,combinations/mix_character/014_jeong-chuk_female.png,촛불;별빛 candle;small_flame;scholar_lamp with sturdy_ox;frozen_soil;gentle_horns,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
mu-in_character_type,mu-in,戊寅,무인,mu,in,무인 중심축,흔들리지 않고 판을 받치는 타입. 호랑이의 추진 모티프가 보조된다,황룡,호랑이,combinations/mix_character/015_mu-in_male.png,combinations/mix_character/015_mu-in_female.png,큰산;대지 mountain;earth_armor;steady_pose with tiger;spring_forest;dynamic_stripes,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
gi-myo_character_type,gi-myo,己卯,기묘,gi,myo,기묘 케어테이커,세밀하게 돌보고 현실을 가꾸는 타입. 토끼의 감성 모티프가 보조된다,황룡,토끼,combinations/mix_character/016_gi-myo_male.png,combinations/mix_character/016_gi-myo_female.png,논밭;정원흙 garden_soil;warm_brown;caretaker with rabbit;flower_field;soft_ears,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
gyeong-jin_character_type,gyeong-jin,庚辰,경진,gyeong,jin,경진 결단가,기준을 세우고 빠르게 정리하는 타입. 용의 비전 모티프가 보조된다,백호,용,combinations/mix_character/017_gyeong-jin_male.png,combinations/mix_character/017_gyeong-jin_female.png,강철;큰칼 steel_blade;silver;warrior with dragon;cloud_soil;pearl,gapja-combinations.csv;heavenly-stems.csv;earthly-branches.csv;gapja-assets.csv
