hexagram_id,line_position,line_label,yin_yang,classical_text,small_image_text,small_image_translation,korean_text
1,1,初九,yang,潛龍勿用。,潛龍勿用，陽在下也。,"잠룡을 쓰지 않음은, 양(陽)이 아래에 있기 때문이다.",잠용물용(潛龍勿用) 용이 세상에 드러나지 않음은 쓰이지 않는 바가 있(기 때문이)다.
1,2,九二,yang,見龍在田，利見大人。,見龍在田，德施普也。,"용이 밭에 나타남은, 덕이 베풀어져 널리 퍼지기 때문이다.","견룡재전(見龍在田) , 이현대인(利見大人)전(田)에 용이 드러난다. 대인을 뵈오니 이롭다."
1,3,九三,yang,君子終日乾乾，夕惕若；厲，无咎。,終日乾乾，反復道也。,"종일토록 굳세게 힘쓰는 것은, 도(道)를 반복하여 행하기 때문이다.",군자종일건건 석척약려 무구(君子終日乾乾，夕惕若厲，无咎) 군자는 종일 힘쓴다， 힘씀에 끝마무리까지 염려한다. 허물이 없다.
1,4,九四,yang,或躍在淵，无咎。,或躍在淵，進无咎也。,"혹 못에서 뛰어오르는 것은, 나아가도 허물이 없기 때문이다.",혹약재연 무구(或躍在淵，无咎) 혹 도약하더라도 연(淵)못이니 허물이 없다.
1,5,九五,yang,飛龍在天，利見大人。,飛龍在天，大人造也。,"용이 하늘에 날아오름은, 대인이 일어나기 때문이다.",비룡재천(飛龍在天)，이견대인(利見大人)뜻하는바를 펼친다. 대인을 만나니 이롭다.
1,6,上九,yang,亢龍，有悔。,亢龍有悔，盈不可久也。,"항룡(높이 오른 용)이 후회함은, 가득 찬 것은 오래가지 못하기 때문이다.",항룡유회(亢龍有悔) 항룡은 하늘과 더불어야하는 자신의 처지를 살피니 자신의 부족함을 뉘우친다.
2,1,初六,yin,履霜，堅冰至。,履霜堅冰，陰始凝也。馴致其道，至堅冰也。,"서리를 밟아 얼음이 굳어짐은, 음(陰)이 처음 엉기기 시작함이다. 그 도를 순히 이끌면 단단한 얼음에 이른다.",리상(履霜)，견빙지(堅冰至) 서리를 밟으나 얼음이 딱딱히 굳었다.
2,2,六二,yin,直方大，不習无不利。,六二之動，直以方也。不習无不利，地道光也。,"육이의 움직임은 곧고 바르기 때문이다. 배우지 않아도 불리함이 없는 것은, 땅의 도가 빛나기 때문이다.",직방대(直方大)，불습무불리(不習無不利) 곧고 떳떳한 바가 크니，배움이 없어도 불리하지 않다.
2,3,六三,yin,含章，可貞。或從王事，无成有終。,含章可貞，以時發也。或從王事，知光大也。,"문채를 품어 바르게 할 수 있음은, 때에 맞춰 드러내기 때문이다. 혹 왕의 일을 따름은, 지혜가 크고 빛나기 때문이다.",함장가정(含章可貞) 혹종왕사(或從王事)，무성유종(無成有終) 절제하는 바로 바를 수 있다. 왕사를 쫓으나 이룸은 없고 끝은 있다.
2,4,六四,yin,括囊，无咎无譽。,括囊无咎，慎不害也。,"주머니를 동여매 허물이 없음은, 신중하면 해로움이 없기 때문이다.",괄낭(括囊)，무구무예(无咎无譽)주머니를 동여메니 허물도 없고 명예도 없다.
2,5,六五,yin,黃裳，元吉。,黃裳元吉，文在中也。,"누런 치마가 크게 길함은, 문채가 가운데 있기 때문이다.","황상(黃裳),원길(元吉) 노랑색 치마는 길함의 근원이다."
2,6,上六,yin,龍戰于野，其血玄黃。,龍戰于野，其道窮也。,"용이 들판에서 싸움은, 그 도가 다했기 때문이다.",용전어야(龍戰于野)，기혈현황(其血玄黃)용은 하늘에 거하고 그 다툼으로 피는 땅이 받는다.
3,1,初九,yang,磐桓，利居貞，利建侯。,雖磐桓，志行正也。以貴下賤，大得民也。,비록 머뭇거리나 뜻과 행동이 바르기 때문이다. 귀한 몸으로 천한 이에게 내려가니 크게 백성의 마음을 얻는다.,반환(磐桓) 이거정(利居貞) 이건후(利建侯) 머뭇거린다. 조신하게 거함이 이롭다. 대립(代立)이 이로움이 있다.
3,2,六二,yin,屯如邅如，乘馬班如，匪寇婚媾，女子貞不字，十年乃字。,六二之難，乘剛也。十年乃字，反常也。,육이의 어려움은 강(양효)을 타고 있기 때문이다. 십 년 만에 정혼함은 도리어 떳떳함으로 돌아가기 때문이다.,준여전여(屯如邅如) 승마반이(乘馬班如) 비구혼구(匪寇婚媾) 여자정부자(女子貞不字)십년내자(十年乃字) 둔(屯)은 어려움같다. 머뭇거림같다. 말을 타고 서성거린다. 도적이 아니면 혼사로 화친한다. 여자가 정(貞)하여 정(定)하지 않다가 십년 내에 정혼하다.
3,3,六三,yin,即鹿无虞，惟入于林中，君子幾不如舍，往吝。,即鹿无虞，以從禽也。君子舍之，往吝窮也。,"사슴을 쫓아도 인도자가 없음은 새를 쫓기 때문이다. 군자가 버림은, 가면 부끄러움과 궁함이 있기 때문이다.",즉록무여(即鹿無虞) 유입어임중(惟入于林中) 군자기불여석(君子幾不如舍) 왕린(往吝) 사슴이 염려함이 없음은 산속에 오직 들어가 있음이다. 군가가 자세히 살펴 벌여놓지 않는다. 가는 바를 아낀다.
3,4,六四,yin,乘馬班如，求婚媾，往，吉无不利。,求而往，明也。,구하여 감은 밝음이다.,승마반이(乘馬班如) 구혼구왕(求婚媾往) 길무불리(吉無不利) 말을 타고 돌아온다. 혼사를 구하러 간다. 길하고 불리함이 없다.
3,5,九五,yang,屯其膏；小貞吉，大貞凶。,屯其膏，施未光也。,"은택(膏)을 쌓아둠은, 베풂이 아직 빛나지 않기 때문이다.",둔기고(屯其膏)소정길(小貞吉)대정흉(大貞凶) 둔은 장차 고약이다. 작은 것에서 길하고 큰 것에서 흉하다.
3,6,上六,yin,乘馬班如，泣血漣如。,泣血漣如，何可長也。,"피눈물이 줄줄 흐름은, 어찌 오래갈 수 있겠는가.",승마반이(乘馬班如) 읍혈련이(泣血漣如) 말을 타고 돌아온다. 피눈물을 흘린다.
4,1,初六,yin,發蒙，利用刑人，用說桎梏，以往吝。,利用刑人，以正法也。,"사람을 바로잡는 법을 쓰는 것이 이로움은, 법을 바르게 하기 때문이다.",발몽(發蒙) ，이용형인(利用刑人)，용탈질곡(用說桎梏) 이왕린(以往吝)사람이 모범을 따르게함이 이로운바는 교화이다. 마땅이 갈바를 어여삐여김에 법을 베푼다.
4,2,九二,yang,包蒙吉，納婦吉，子克家。,子克家，剛柔接也。,"아들이 집을 다스림은, 강과 유가 서로 이어지기 때문이다.",포몽길납부길자극가(包蒙吉，納婦吉，子克家) 아이를 감싸니 길하다. 아내를 받아들이니 길하다. 사람이 집을 다스린다
4,3,六三,yin,勿用取女，見金夫，不有躬，无攸利。,勿用取女，行不順也。,"여자를 취하지 말라는 것은, 행동이 순하지 않기 때문이다.",물용취녀현금부불유궁무유리(勿用取女，見金夫，不有躬，无攸利) 여자는 취하는것이 아니다. 귀한사람을 맞이하는것이다. 스스로 하는바가 없으면 이로운바가 없다.
4,4,六四,yin,困蒙，吝。,困蒙之吝，獨遠實也。,"몽에 곤한 부끄러움은, 홀로 실체에서 멀어졌기 때문이다.",곤몽린(困蒙，吝) 어리석어 곤란하다. 주저한다.
4,5,六五,yin,童蒙，吉。,童蒙之吉，順以巽也。,"동몽의 길함은, 순순히 겸손히 따르기 때문이다.",동몽길(童蒙，吉) 어린아이와 같다 길하다.
4,6,上九,yang,擊蒙，不利為寇，利禦寇。,利禦寇，上下順也。,"도적을 막음이 이로움은, 위아래가 순하기 때문이다.",격몽불리위구이어구(擊蒙，不利為寇，利禦寇) (자신의)어리석은바를 맞딱뜨리다. 난리를 당하면 불리하나 제어하면 이롭다.
5,1,初九,yang,需于郊，利用恆，无咎。,需于郊，不犯難行也。利用恆，无咎，未失常也。,"들판에서 기다림은, 험난을 범해 행하지 않는 것이다. 항상함을 쓰는 것이 이로워 허물이 없음은, 떳떳함을 잃지 않기 때문이다.",수어교이용항무구(需于郊，利用恒，无咎)공급은 경계에서 늘 이용되는바로 이롭다. 허물이없다.
5,2,九二,yang,需于沙，小有言，終吉。,需于沙，衍在中也。雖小有言，以終吉也。,"모래에서 기다림은, 여유가 가운데 있기 때문이다. 비록 말이 조금 있으나 끝이 길하기 때문이다.",수어사소유언종길(需于沙，小有言，終吉)모래땅에서 주고받음은 말이 있으나 적고 끝은 길하다.
5,3,九三,yang,需于泥，致寇至。,需于泥，災在外也。自我致寇，敬慎不敗也。,"진흙에서 기다림은, 재앙이 밖에 있기 때문이다. 스스로 도적을 부르나, 공경하고 신중하면 패하지 않는다.",수우니치구지(需于泥，致寇至)진흙에서 주고받음은 난리(亂離)에 이른다.
5,4,六四,yin,需于血，出自穴。,需于血，順以聽也。,"피에서 기다림은, 순순히 듣기 때문이다.",수어혈출자혈(需于血，出自穴)다툼에서 주고받음은 스스로 안전한곳에서 나오는것이다.
5,5,九五,yang,需于酒食，貞吉。,酒食，貞吉，以中正也。,"술과 음식(연회)에 바르고 길함은, 중정하기 때문이다.",수어주식(需于酒食，貞吉)주식에서 주고받음은 바르고 길하다.
5,6,上六,yin,入于穴，有不速之客三人來，敬之終吉。,不速之客來，敬之終吉。雖不當位，未大失也。,"청하지 않은 손님이 와도 공경하면 끝이 길함은, 자리가 마땅하지 않아도 크게 잃지 않기 때문이다.",입어혈유불속지객심인래경지종길(入于穴，有不速之客三人來，敬之終吉)구멍으로 들어간다. 서두르지않는 손님3명이 올바가있다. 끝이 길함을 존중한다.
6,1,初六,yin,不永所事，小有言，終吉。,不永所事，訟不可長也。雖小有言，其辯明也。,"일을 오래 끌지 않음은, 송사는 오래할 수 없기 때문이다. 비록 말이 조금 있으나 그 변론이 밝기 때문이다.",불영소사 소유언 종길(不永所事，小有言，終吉) 일은 길지 않다. 말은 적다. 끝은 길하다.
