source_code,source_category,title,path,design_use
classic-pungsu-yeokgyeong,classical,풍수_역경의진리,/home/declan/Downloads/명리학-20260812T044908Z-1-001/명리학/고전/풍수_역경의진리.md,고전적 세계관과 역경 계열 해석 참고
classic-gungtongbogam,classical,궁퉁보감,/home/declan/Downloads/명리학-20260812T044908Z-1-001/명리학/고전/궁퉁보감.md,조후와 계절감 해석 참고
classic-japyeongjinjeon,classical,자평진전,/home/declan/Downloads/명리학-20260812T044908Z-1-001/명리학/고전/자평진전.md,자평명리 격국과 용신 관점 참고
classic-japyeongjeongsu,classical,자평정수,/home/declan/Downloads/명리학-20260812T044908Z-1-001/명리학/고전/자평정수.md,자평 계열 해석 보조 참고
classic-japyeong-ohhaeng-yeonhae,classical,자평정수_오행대의_연해자평,/home/declan/Downloads/명리학-20260812T044908Z-1-001/명리학/고전/자평정수_오행대의_연해자평.md,오행 원리와 자평 해석 교차 참고
classic-gilhyung,classical,길흉회피의지혜,/home/declan/Downloads/명리학-20260812T044908Z-1-001/명리학/고전/길흉회피의지혜.md,길흉 표현의 주의 문구 참고
classic-jeokcheonsu-yugi,classical,적천수_원문_유기주,/home/declan/Downloads/명리학-20260812T044908Z-1-001/명리학/고전/적천수_원문_유기주.md,오행 생극과 간명 원리 참고
classic-sammyeongtonghoe,classical,삼명통회,/home/declan/Downloads/명리학-20260812T044908Z-1-001/명리학/고전/삼명통회.md,고전 신살과 격국 참고
classic-japyeongjinjeon-jeongpan,classical,자평진전_정판,/home/declan/Downloads/명리학-20260812T044908Z-1-001/명리학/고전/자평진전_정판.md,자평진전 판본 비교 참고
classic-ohhaengdaeui,classical,오행대의,/home/declan/Downloads/명리학-20260812T044908Z-1-001/명리학/고전/오행대의.md,오행 상징 체계 참고
classic-jeokcheonsu-baekhwa,classical,적천수_백화도해본,/home/declan/Downloads/명리학-20260812T044908Z-1-001/명리학/고전/적천수_백화도해본.md,현대어 해설과 도해 참고
classic-japyeongjinjeon-pyeongju,classical,자평진전_평주,/home/declan/Downloads/명리학-20260812T044908Z-1-001/명리학/고전/자평진전_평주.md,평주 해석 참고
classic-jeokcheonsu-cheonmi,classical,적천수천미,/home/declan/Downloads/명리학-20260812T044908Z-1-001/명리학/고전/적천수천미.md,적천수 주석 계열 참고
classic-yeonhaejapyeong,classical,연해자평,/home/declan/Downloads/명리학-20260812T044908Z-1-001/명리학/고전/연해자평.md,자평 고전 해석 참고
modern-sulsul,modern,술술_풀리는_사주명리_입문,/home/declan/Downloads/명리학-20260812T044908Z-1-001/명리학/현대/술술_풀리는_사주명리_입문.md,입문자 친화적 표현 톤 참고
modern-nae-saju,modern,나의사주명리_정리,/home/declan/Downloads/명리학-20260812T044908Z-1-001/명리학/현대/나의사주명리_정리.md,현대식 정리와 요약 표현 참고
modern-puli,modern,현대사주풀이,/home/declan/Downloads/명리학-20260812T044908Z-1-001/명리학/현대/현대사주풀이.md,현대 상담형 풀이 톤 참고
modern-honja,modern,혼자_시작하는_사주명리_공부,/home/declan/Downloads/명리학-20260812T044908Z-1-001/명리학/현대/혼자_시작하는_사주명리_공부.md,학습 순서와 초보자 설명 참고
