branch_code,hidden_order,hidden_role,stem_code,stem_ko,stem_hanja,source_ref
ja,1,main,gye,계,癸,/명리학/03_지지/ja.md
chuk,1,main,gi,기,己,/명리학/03_지지/chuk.md
chuk,2,middle,sin,신,辛,/명리학/03_지지/chuk.md
chuk,3,residual,gye,계,癸,/명리학/03_지지/chuk.md
in,1,main,gap,갑,甲,/명리학/03_지지/in.md
in,2,middle,byeong,병,丙,/명리학/03_지지/in.md
in,3,residual,mu,무,戊,/명리학/03_지지/in.md
myo,1,main,eul,을,乙,/명리학/03_지지/myo.md
jin,1,main,mu,무,戊,/명리학/03_지지/jin.md
jin,2,middle,eul,을,乙,/명리학/03_지지/jin.md
jin,3,residual,gye,계,癸,/명리학/03_지지/jin.md
sa,1,main,byeong,병,丙,/명리학/03_지지/sa.md
sa,2,middle,gyeong,경,庚,/명리학/03_지지/sa.md
sa,3,residual,mu,무,戊,/명리학/03_지지/sa.md
o,1,main,jeong,정,丁,/명리학/03_지지/o.md
o,2,middle,gi,기,己,/명리학/03_지지/o.md
mi,1,main,gi,기,己,/명리학/03_지지/mi.md
mi,2,middle,jeong,정,丁,/명리학/03_지지/mi.md
mi,3,residual,eul,을,乙,/명리학/03_지지/mi.md
sin,1,main,gyeong,경,庚,/명리학/03_지지/sin-ji.md
sin,2,middle,im,임,壬,/명리학/03_지지/sin-ji.md
sin,3,residual,mu,무,戊,/명리학/03_지지/sin-ji.md
yu,1,main,sin,신,辛,/명리학/03_지지/yu.md
sul,1,main,mu,무,戊,/명리학/03_지지/sul.md
sul,2,middle,sin,신,辛,/명리학/03_지지/sul.md
sul,3,residual,jeong,정,丁,/명리학/03_지지/sul.md
hae,1,main,im,임,壬,/명리학/03_지지/hae.md
hae,2,middle,gap,갑,甲,/명리학/03_지지/hae.md
