evidence_id,source_code,topic_code,topic_ko,line_no,evidence_keyword,modernized_takeaway,applies_to,extraction_status
classic-pungsu-yeokgyeong|month_command,classic-pungsu-yeokgyeong,month_command,월령,401,五行,월령이나 계절 중심 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-pungsu-yeokgyeong|useful_god,classic-pungsu-yeokgyeong,useful_god,용신,457,取用,용신 후보와 희기 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-pungsu-yeokgyeong|pattern,classic-pungsu-yeokgyeong,pattern,격국,2466,格局,격국 성립 손상 구제 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-pungsu-yeokgyeong|climate,classic-pungsu-yeokgyeong,climate,조후,214,气候,조후 한난조습 보정의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-pungsu-yeokgyeong|balance,classic-pungsu-yeokgyeong,balance,중화/병약,241,病,중화 병약 강약 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-pungsu-yeokgyeong|expression_guardrail,classic-pungsu-yeokgyeong,expression_guardrail,표현/길흉,280,吉,길흉 표현을 조건부 현대어로 완화할 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-gungtongbogam|month_command,classic-gungtongbogam,month_command,월령,46,調候,월령이나 계절 중심 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-gungtongbogam|useful_god,classic-gungtongbogam,useful_god,용신,88,用神,용신 후보와 희기 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-gungtongbogam|pattern,classic-gungtongbogam,pattern,격국,357,格局,격국 성립 손상 구제 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-gungtongbogam|climate,classic-gungtongbogam,climate,조후,49,調候,궁통보감의 조후용신 축을 계절 보정 규칙으로 연결,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-gungtongbogam|balance,classic-gungtongbogam,balance,중화/병약,304,中和,중화 병약 강약 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-gungtongbogam|expression_guardrail,classic-gungtongbogam,expression_guardrail,표현/길흉,120,吉,길흉 표현을 조건부 현대어로 완화할 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeongjinjeon|month_command,classic-japyeongjinjeon,month_command,월령,450,月令,자평진전 계열의 월령용신과 격국 성패 축으로 연결,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeongjinjeon|useful_god,classic-japyeongjinjeon,useful_god,용신,40,用神,용신 후보와 희기 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeongjinjeon|pattern,classic-japyeongjinjeon,pattern,격국,473,格局,자평진전 계열의 월령용신과 격국 성패 축으로 연결,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeongjinjeon|climate,classic-japyeongjinjeon,climate,조후,2823,气候,조후 한난조습 보정의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeongjinjeon|balance,classic-japyeongjinjeon,balance,중화/병약,256,中和,중화 병약 강약 판단의 원문 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
classic-japyeongjinjeon|expression_guardrail,classic-japyeongjinjeon,expression_guardrail,표현/길흉,115,吉,길흉 표현을 조건부 현대어로 완화할 근거,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;classical-seasonal-use-god-rules.csv,indexed
