ten_god_code,ko_name,category,positive_keywords,caution_keywords,career_keywords,relationship_keywords,health_keywords,character_visual_seed,source_ref
bijeon,비견,peer,독립;자존;주체성,고집;배타;재물분산,독립사업;스포츠;프리랜서,대등함;독립적연애,균형관리,twin_shadow;matching_bracelet,/명리학/04_십성/비견.md
geopjae,겁재,peer,도전;승부;개척,무모함;투기;탕진,위험감수직업;영업;사업,직진;경쟁심,사고주의,split_sash;motion_lines,/명리학/04_십성/겁재.md
siksin,식신,output,재능;여유;복록,나태;과식;안일,요리;창작;콘텐츠,편안함;돌봄,식습관관리,food_bowl;fruit_badge,/명리학/04_십성/식신.md
sanggwan,상관,output,창의;표현;혁신,반항;독설;구설,예술;프리랜서;방송,개성;자유,감정소모주의,brush;microphone;sparks,/명리학/04_십성/상관.md
pyeonjae,편재,wealth,사업감각;인맥;활동성,큰지출;분산;이성복잡,사업;투자;무역,사교;여유,체력관리,coin_pouch;map,/명리학/04_십성/편재.md
jeongjae,정재,wealth,성실;절약;관리,인색;소심;기회상실,회계;금융;관리직,안정;충실,스트레스관리,ledger;key;scale,/명리학/04_십성/정재.md
pyeongwan,편관,authority,카리스마;위기관리;결단,공격성;압박;사고,군경;검사;CEO,강렬;보호,수술;외상주의,shield;diagonal_tension,/명리학/04_십성/편관.md
jeonggwan,정관,authority,질서;책임;명예,경직;눈치;압박,공무원;행정;관리,신뢰;공식성,과로주의,seal;official_sash,/명리학/04_십성/정관.md
pyeonin,편인,resource,직감;독창;비정형지혜,산만;고독;도식,연구;역학;심리;프로그래밍,신비;거리감,영양;정신소모,talisman;secret_book;mist,/명리학/04_십성/편인.md
jeongin,정인,resource,학문;보호;수용,생각과다;의존;재성약화,교육;연구;전문직,돌봄;안정,운동부족주의,book;cloak;halo,/명리학/04_십성/정인.md
