field_key,module,ko_name,input_dependencies,output_type,description,source_tables,source_ref
four_pillars,foundation,사주 네 기둥,birth_datetime;calendar_rules,object,연월일시를 연주 월주 일주 시주로 정규화한 기본 구조,saju-foundations.csv;pillar-positions.csv,/명리학/00_사주팔자란/intro.md
eight_characters,foundation,팔자 여덟 글자,four_pillars,object,각 기둥의 천간과 지지를 합친 여덟 글자 배열,saju-foundations.csv;heavenly-stems.csv;earthly-branches.csv,/명리학/00_사주팔자란/intro.md
day_master,foundation,일간 기준값,eight_characters.day_stem,code,십성 12운성 성향 계산의 기준 천간,saju-foundations.csv;heavenly-stems.csv,/명리학/02_천간/00_소개.md
element_balance,element,오행 분포,eight_characters;hidden_stems,score_vector,천간 지지 지장간을 합산한 목화토금수 분포,elements.csv;hidden-stems.csv,/명리학/01_오행/00_소개.md
stem_relationships,relationship,천간 관계,eight_characters.stems,list,천간합 충 극 관계 후보를 산출한 목록,heavenly-stem-relationships.csv;heavenly-stems.csv,/명리학/02_천간/00_소개.md
branch_relationships,relationship,지지 관계,eight_characters.branches,list,합 충 형 파 해 삼합 방합 등 지지 관계 후보,earthly-branch-relationships.csv;earthly-branches.csv,/명리학/03_지지/00_소개.md
hidden_stem_profile,branch,지장간 프로필,eight_characters.branches,list,각 지지 안의 본기 중기 여기 구성을 프로그램용으로 펼친 목록,hidden-stems.csv;earthly-branches.csv,/명리학/03_지지/00_소개.md
ten_god_profile,ten_god,십성 프로필,day_master;eight_characters.stems;hidden_stems,list,일간 대비 천간과 지장간의 십성 배치,ten-god-rules.csv;ten-god-stem-map.csv;ten-god-traits.csv;ten-god-overlays.csv,/명리학/04_십성/00_소개.md
twelve_life_stage_profile,life_stage,12운성 프로필,day_master;eight_characters.branches,list,일간 대비 네 지지의 12운성 단계,twelve-life-stage-rules.csv;twelve-life-stage-map.csv;twelve-life-stages.csv,/명리학/05_12운성/00_소개.md
twelve_shinsal_profile,shinsal,12신살 프로필,eight_characters.branches,list,삼합군 기준 12신살 배치,twelve-shinsal.csv;twelve-shinsal-rules.csv,/명리학/06_12신살/00_소개.md
special_star_profile,special_star,신살 프로필,eight_characters;day_master,list,귀인 공망 등 특수 신살 판별 결과,special-stars.csv;special-star-rules.csv,/명리학/07_신살/00_소개.md
gapja_asset_selection,asset,갑자 이미지 선택,day_pillar;gender,asset_path,일주 또는 대표 갑자와 성별에 맞는 생성 이미지 경로,gapja-combinations.csv;gapja-assets.csv,/명리학/02_천간/00_소개.md
classical_source_weighting,classical,고전 출처 가중치,literature_sources,object,고전별 역할과 신뢰도를 분리해 해석 근거를 추적한다,literature-sources.csv;classical-principles.csv;classical-analysis-modules.csv;classical-source-coverage.csv,/명리학/고전
climate_adjustment,classical,조후 보정,month_branch;day_master;element_balance,object,궁통보감식 계절 한난조습 보정으로 용신 후보 우선순위를 조정한다,classical-principles.csv;classical-analysis-modules.csv;classical-seasonal-use-god-rules.csv;elements.csv,/명리학/고전/궁퉁보감.md
useful_god_candidates,classical,용신 후보,month_command;day_master_strength;climate_adjustment,list,월령 조후 병약 균형을 종합해 용신 후보와 근거를 산출한다,classical-principles.csv;classical-analysis-modules.csv;classical-seasonal-use-god-rules.csv;ten-god-stem-map.csv,/명리학/고전/자평진전_정판.md
pattern_assessment,classical,격국 성패 평가,month_command;ten_god_profile;useful_god_candidates,object,격국 후보의 성립 손상 구제 순잡 상태를 평가한다,classical-principles.csv;classical-analysis-modules.csv;classical-pattern-rules.csv;ten-god-rules.csv,/명리학/고전/자평진전_정판.md
plain_language_guardrail,classical,현대어 표현 안전장치,all_analysis_outputs,object,고전식 길흉 표현을 조건부 설명과 보완 가능한 주의 문장으로 변환한다,classical-principles.csv;classical-analysis-modules.csv;literature-sources.csv,/명리학/고전/길흉회피의지혜.md
classical_evidence_trace,classical,고전 원문 근거 추적,classical_analysis_outputs,object,각 고전 판단의 source_code line_no topic 근거를 연결한다,classical-evidence-index.csv;classical-source-coverage.csv;literature-sources.csv,/명리학/고전
classical_example_case_index,classical,고전 예문 후보 색인,classical_sources,list,고전 원문 속 예문 명조 후보를 line_no와 case_type으로 색인한다,classical-example-cases.csv;classical-evidence-index.csv;literature-sources.csv,/명리학/고전
classical_case_parse_quality,classical,고전 예문 파싱 품질,classical_example_case_index,list,예문 후보 주변 문맥에서 60갑자 문자열과 네 기둥 후보 수를 감지한다,classical-example-case-parse.csv;classical-example-cases.csv;gapja-combinations.csv,/명리학/고전
