ten_god_code,ko_name,category,visual_overlay,personality_read
bijeon,비견,peer,self-matching bracelet or twin shadow,자아 독립 동료
geopjae,겁재,peer,split sash and competitive motion lines,경쟁 도전 네트워크
siksin,식신,output,fruit bowl or food badge with rounded relaxed gesture,생산 여유 안정된 표현
sanggwan,상관,output,brush microphone sparks and asymmetric pose,창의 반항 과감한 표현
pyeonjae,편재,wealth,coin pouch map and broad outward gesture,기회 활동성 외부 자원
jeongjae,정재,wealth,ledger key scale and neatly organized pouch,관리 실속 안정 재물
pyeongwan,편관,authority,shield diagonal tension and focused expression,압박 도전 위기 대응
jeonggwan,정관,authority,seal official sash and vertical symmetry,질서 명예 책임
pyeonin,편인,resource,talisman secret book mist and one-eye highlight,직감 연구 비정형 지혜
jeongin,정인,resource,book protective cloak and soft halo,학습 보호 수용
