hexagram_id,sequence,name_zh,name_ko,lower_trigram_id,upper_trigram_id,binary_bottom_to_top,unicode,part,judgment_text,judgment_translation,tuan_text,tuan_translation,great_image_text,great_image_translation,source_note,external_legge_url
1,1,乾,건,1,1,111111,䷀,상경,乾：元亨。利貞。,건(乾) 원형이정(元亨利貞)하늘이 갖추고 있는 네 가지 덕. 세상의 모든 것이 생겨나서 자라고 이루어지고 거두어짐을 뜻한다. 또는 사물의 근본이 되는 원리.,大哉乾元，萬物資始，乃統天。雲行雨施，品物流形，大明終始，六位時成。時乘六龍以御天，乾道變化，各正性命，保合大和（一作太和），乃利貞。首出庶物，萬國咸寧。,"크도다, 건원(乾元)이여! 만물이 이로 말미암아 비로소 시작되어 하늘을 통솔한다. 구름이 행하고 비가 내려 온갖 사물이 그 형상을 드러낸다. 크게 밝은 것이 처음과 끝을 통달하여 여섯 자리가 때에 맞춰 이루어진다. 때로 여섯 용을 타고 하늘을 다스리니, 건도의 변화로 각자가 성명(性命)을 바르게 하여 큰 화합을 보존하고 지키니 이에 이정(利貞)이다. 먼저 뭇 사물 위에 나서니 만국이 다 평안하다.",天行健，君子以自強不息。,"하늘의 운행이 굳세니, 군자가 이를 본받아 스스로 강해지기를 쉬지 않는다.",01_경문_64괘/001_건_乾.md,https://baharna.com/iching/legge/111111.htm
2,2,坤,곤,8,8,000000,䷁,상경,坤：元亨。利牝馬之貞。君子有攸往，先迷後得主。利西南得朋，東北喪朋。安貞，吉。,"곤(坤)은 원형(元亨), 이빈마지정(利牝馬之貞) 군자유유왕(君子有攸往) 선미후득주리(先迷後得主利) 서남득붕(西南得朋) 동북상붕(東北喪朋) 안정길(安貞吉) 곤은 원형이다. 암말이 바르니 이롭다. 군자가 가는 바가 있어 처음은 어렴풋하나 나중은 주된 바를 얻으니 이롭다. 서쪽(방향)과 남쪽(방향)은 친구를 얻는다. 동쪽(방향)과 북쪽(방향)은 친구를 잃는다. 평안하니 바르어지고 바르어지니 길하다.",至哉坤元，萬物資生，乃順承天。坤厚載物，德合无疆；含弘光大，品物咸亨。牝馬地類，行地无疆，柔順利貞。君子攸行，先迷失道，後順得常。西南得朋，乃與類行，東北喪朋，乃終有慶。安貞之吉，應地无疆。,"지극하도다, 곤원(坤元)이여! 만물이 이로 말미암아 생겨나니, 하늘을 순순히 받든다. 곤은 두터워 만물을 실으며, 덕이 끝없는 것과 합한다. 넓고 크게 품어 빛내니 온갖 사물이 다 형통한다. 암말은 땅의 부류이니 땅을 달려 끝이 없고, 부드럽고 순하여 바르게 하니 이롭다. 군자가 행함에, 먼저는 길을 잃으나 뒤에 순종하여 떳떳함을 얻는다. 서남에서 벗을 얻어 그 무리와 함께 가고, 동북에서 벗을 잃으나 마침내 경사가 있다. 편안하고 바른 길함은 땅의 끝없음에 응함이다.",地勢坤，君子以厚德載物。,"땅의 형세가 유순하니, 군자가 이를 본받아 두터운 덕으로 만물을 실는다.",01_경문_64괘/002_곤_坤.md,https://baharna.com/iching/legge/000000.htm
3,3,屯,준,4,6,100010,䷂,상경,屯：元亨，利貞。勿用有攸往，利建侯。,둔(屯)은 원형이정(元亨利貞) 물용유유왕(勿用有攸往) 이건후(利建侯) 둔(屯)은 머뭇거림이다. 가다 멈춤이다. 원형이정(元亨利貞)이다. 갈 바가 있어도 가지 않는 것 이다. 대신하는 바를 사용하여 이롭(게 할 수 있)다.,屯，剛柔始交而難生，動乎險中，大亨貞。雷雨之動滿盈，天造草昧，宜建侯而不寧。,"준(屯)은 강과 유가 처음 사귀어 어려움이 생기는 것이니, 험한 가운데서 움직인다. 크게 형통하고 바르다. 우레와 비의 움직임이 가득 차니, 하늘이 창조하는 풀과 어둠 같은 때라, 제후를 세움에 마땅하고 편안하지 않다.",雲雷，屯；君子以經綸。,"구름과 우레가 어우러짐이 준괘이니, 군자가 이를 본받아 실타래를 풀어 다스린다(경륜).",01_경문_64괘/003_준_屯.md,https://baharna.com/iching/legge/100010.htm
4,4,蒙,몽,6,7,010001,䷃,상경,蒙：亨。匪我求童蒙，童蒙求我。初筮告，再三瀆，瀆則不告。利貞。,몽(蒙)은 형(亨)이다. 비아구동몽(匪我求童蒙) 동몽구아(童蒙求我) 초서고재삼독(初筮告再三瀆) 독즉불고(瀆則不告) 이정(利貞) 내가 어린아이를 구하는것이아니다. 어린아이가 나를 구하는것이다. 처음 점으로 고한다. 두세번 치는것은 점을 더럽히는것이다. 업신여기면 알려주지 않는다. 조신(操身)이 이롭다.,蒙，山下有險，險而止，蒙。蒙亨，以亨行，時中也。匪我求童蒙，童蒙求我，志應也。初筮告，以剛中也。再三瀆，瀆則不告，瀆蒙也。蒙以養正，聖功也。,"몽(蒙)은 산 아래에 험이 있고, 험하여 그치는 것이다. 몽이 형통함은, 형통함으로 행하여 때에 알맞고 중정(中正)하기 때문이다. 내가 동몽을 구하는 것이 아니라 동몽이 나를 구하는 것은, 뜻이 서로 응하기 때문이다. 처음 점치면 고하는 것은 강이 가운데 있기 때문이다. 두세 번 되풀이함은 더럽히는 것이니, 더럽히면 고하지 않는다. 몽은 바름을 기르는 것이니, 성인의 공이다.",山下出泉，蒙；君子以果行育德。,"산 아래서 샘이 나옴이 몽괘이니, 군자가 이를 본받아 과감하게 행동하고 덕을 기른다.",01_경문_64괘/004_몽_蒙.md,https://baharna.com/iching/legge/010001.htm
5,5,需,수,1,6,111010,䷄,상경,需：有孚，光亨。貞吉，利涉大川。,수(需)는 유부광형정길(有孚，光亨，貞吉) 이섭대천(利涉大川) 수(需)는 (주고받음이)미쁘다. 빛나고 형통하다. 바르고 길하다. 이롭기가 큰강을 건널만하다.,需，須也，險在前也；剛健而不陷，其義不困窮矣。需，有孚，光亨，貞吉，位乎天位，以正中也。利涉大川，往有功也。,"수(需)는 기다림이다. 험이 앞에 있으니, 강건하여 빠지지 않으므로 그 뜻이 궁하지 않다. 수는 믿음이 있어 빛나고 형통하며, 바르면 길하다. 하늘의 자리에 있어 바르고 가운데에 서기 때문이다. 큰 강을 건넘이 이로운 것은, 가면 공이 있기 때문이다.",雲上於天，需；君子以飲食宴樂。,"구름이 하늘 위에 오름이 수괘이니, 군자가 이를 본받아 음식과 연회로 즐기며 때를 기다린다.",01_경문_64괘/005_수_需.md,https://baharna.com/iching/legge/111010.htm
6,6,訟,송,6,1,010111,䷅,상경,訟：有孚，窒，惕，中吉，終凶。利見大人，不利涉大川。,"송(訟)은 유부질척중길종흉(有孚，窒，惕，中吉，終凶) 이현대인불리섭대천(利見大人，不利涉大川) 송사(訟事)함은 믿음,멈춤,걱정,운수(運數)가 있다. 대인을 뵈면 이롭고 대천(大川)을 건너기에는 이롭지 않다.",訟，上剛下險，險而健，訟。訟，有孚，窒，惕，中吉，剛來而得中也。終凶，訟不可成也。利見大人，尚中正也。不利涉大川，入于淵也。,"송(訟)은 위가 강하고 아래가 험하여, 험하고 굳세니 송사다. 송사는 믿음이 있어도 막히고 두려우니, 가운데에 그치면 길하다. 강이 와서 가운데를 얻기 때문이다. 끝까지 가면 흉하니, 송사는 이루어질 수 없기 때문이다. 대인을 뵘이 이로운 것은 중정을 숭상하기 때문이다. 큰 강을 건너는 것이 이롭지 않음은, 못 속에 들어가기 때문이다.",天與水違行，訟；君子以作事謀始。,"하늘과 물이 서로 어긋나 감이 송괘이니, 군자가 이를 본받아 일을 시작할 때부터 꾀한다.",01_경문_64괘/006_송_訟.md,https://baharna.com/iching/legge/010111.htm
7,7,師,사,6,8,010000,䷆,상경,師：貞丈人吉，无咎。,사(師)는 정장인길(貞丈人吉)，무구(无咎) 사(師)는 바른 장부(丈夫)라야 길하고 허물이 없다.,師，眾也。貞，正也。能以眾正，可以王矣。剛中而應，行險而順，以此毒天下，而民從之，吉又何咎矣。,"사(師)는 무리이다. 정(貞)은 바름이다. 무리를 바르게 할 수 있으면 왕이 될 수 있다. 강이 가운데 있고 응하며, 험을 행해도 순하니, 이것으로 천하를 다스려 백성이 따르면 길하니 어찌 허물이 있겠는가.",地中有水，師；君子以容民畜衆。,"땅 가운데 물이 있음이 사괘이니, 군자가 이를 본받아 백성을 포용하고 무리를 기른다.",01_경문_64괘/007_사_師.md,https://baharna.com/iching/legge/010000.htm
8,8,比,비,8,6,000010,䷇,상경,比：吉。原筮元永貞，无咎。不寧方來，後夫凶。,비(比)는 길(吉)하다. 원서원영정 무구(原筮元永貞，无咎) 불녕방래 후부흉(不寧方來，後夫凶) 비(比)는 길(吉)하다. 점을 보고 근본을 길게 보존한다. 허물이 없다. 사방에서 도래하니 평안치않다. 그나중은 대저 혼란하다.,比，吉也。比，輔也，下順從也。原筮，元永貞，无咎，以剛中也。不寧方來，上下應也。後夫凶，其道窮也。,"비(比)는 길하다. 비는 돕는 것이니, 아래가 순종함이다. 다시 점쳐서 크고 오래고 바르면 허물이 없음은, 강이 가운데 있기 때문이다. 편안하지 않은 자들이 와서 위아래가 응함이다. 뒤늦은 자는 흉하니, 그 도가 다하기 때문이다.",地上有水，比；先王以建萬國，親諸侯。,"땅 위에 물이 있음이 비괘이니, 선왕이 이를 본받아 만국을 세우고 제후를 친애한다.",01_경문_64괘/008_비_比.md,https://baharna.com/iching/legge/000010.htm
9,9,小畜,소축,1,5,111011,䷈,상경,小畜：亨。密雲不雨，自我西郊。,소축(小畜)은 형(亨)하다. 밀운불우 자아서교(密雲不雨，自我西郊) 소축(小畜)은 형(亨)하다. 구름은 빽빽하나 비는 없다. 나로인해 해가저물고 땅은 메마르다.,小畜，柔得位而上下應之，曰小畜。健而巽，剛中而志行，乃亨。密雲不雨，尚往也。自我西郊，施未行也。,"소축(小畜)은 유(음)가 자리를 얻어 위아래가 응하니 소축이라 한다. 굳세고 유순하며, 강이 가운데 있어 뜻이 행해지니 이에 형통한다. 빽빽한 구름이 비를 내리지 않음은, 오히려 가려고 하기 때문이다. 내 서쪽 교외로부터임은, 베풂이 아직 행해지지 않기 때문이다.",風行天上，小畜，君子以懿文德。,"바람이 하늘 위에 붊이 소축괘이니, 군자가 이를 본받아 문덕을 아름답게 한다.",01_경문_64괘/009_소축_小畜.md,https://baharna.com/iching/legge/111011.htm
10,10,履,리,2,1,110111,䷉,상경,履虎尾，不咥人，亨。,리(履)는 호미 부질인 형(虎尾，不咥人，亨) 밟는다는것은 호랑이 꼬리다. 사람을 물지않으면 형통한다.,履，柔履剛也。說而應乎乾，是以履虎尾，不咥人，亨。剛中正，履帝位而不疚，光明也。,"리(履)는 유(음)가 강(양)을 밟는 것이다. 기쁘면서 건(乾)에 응하니, 이로써 호랑이 꼬리를 밟아도 사람을 물지 않으니 형통하다. 강이 가운데 바르고, 제왕의 자리를 밟아도 부끄럽지 않으니, 빛나고 밝음이다.",上天下澤，履；君子以辨上下，定民志。,"위는 하늘 아래는 못이니 밟는 리괘라, 군자가 이를 본받아 위아래를 분별해 백성의 뜻을 안정시킨다.",01_경문_64괘/010_리_履.md,https://baharna.com/iching/legge/110111.htm
